Open,High,Low,Close,Adj Close,Volume
-1.120542398,-1.117704554,-1.118969871,-1.120227186,-1.120227186,2.011120522
-1.119428076,-1.117208959,-1.118004708,-1.116647463,-1.116647463,1.451800925
-1.116440344,-1.11555002,-1.114327235,-1.113924363,-1.113924363,2.137742095
-1.114887268,-1.107730276,-1.113488877,-1.107698157,-1.107698157,1.159434403
-1.109454996,-1.108563186,-1.109240741,-1.108039408,-1.108039408,0.45465604
-1.106885131,-1.100764142,-1.105549153,-1.103519484,-1.103519484,1.490255552
-1.104175958,-1.099793542,-1.106612948,-1.099292073,-1.099292073,1.424046731
-1.098534781,-1.100000049,-1.099638387,-1.101701745,-1.101701745,0.900172264
-1.099649075,-1.099318537,-1.100596507,-1.097007756,-1.097007756,0.765302441
-1.09823525,-1.096558272,-1.096890804,-1.098616506,-1.098616506,0.974852233
-1.094753034,-1.093054505,-1.092466534,-1.09252958,-1.09252958,1.567499166
-1.093771058,-1.094431238,-1.097243046,-1.097648454,-1.097648454,0.882449699
-1.094948099,-1.096565126,-1.099567927,-1.102641974,-1.102641974,1.313141392
-1.102595032,-1.100688388,-1.103907652,-1.09868616,-1.09868616,1.283603793
-1.099363525,-1.100378627,-1.101230558,-1.101680885,-1.101680885,1.016873643
-1.104210771,-1.106539433,-1.106542488,-1.10688331,-1.10688331,0.551740013
-1.108535711,-1.108308507,-1.10832488,-1.108854255,-1.108854255,1.322058393
-1.111154343,-1.10906569,-1.110635647,-1.109884998,-1.109884998,1.170469197
-1.107644249,-1.10963704,-1.11115698,-1.112656836,-1.112656836,1.504076917
-1.107330848,-1.108604504,-1.106401598,-1.106319201,-1.106319201,1.188637614
-1.101494635,-1.09680607,-1.10008926,-1.095837705,-1.095837705,5.154032938
-1.097873112,-1.099662706,-1.111868505,-1.114230801,-1.114230801,7.832146084
-1.114970847,-1.11699557,-1.127282993,-1.127135922,-1.127135922,5.08213954
-1.125027506,-1.121208294,-1.123513903,-1.124698372,-1.124698372,2.108093033
-1.125382681,-1.124574372,-1.126472808,-1.126174832,-1.126174832,1.713069395
-1.127026299,-1.122192658,-1.129156946,-1.131850854,-1.131850854,2.409822434
-1.128029163,-1.127293373,-1.13139021,-1.134107349,-1.134107349,2.146547632
