,Date,Open,High,Low,Close,Adj Close,Volume,nasdaq,snp,djia,ftse100,nikkei225,sensex,russell2000,hangseng,sse,oil,gold,vix,usdx,amzn,aapl,msft
1173,2016-08-31,38.350498,38.454498,38.269001,38.352501,38.352501,24972000,5213.220215,2170.95,18400.88,6781.51,16887.400391,28452.17,1239.91,22976.880859,3085.490967,44.7,"1,306.90",13.42,96.019997,38.458,26.525,57.459999
1174,2016-09-01,38.462502,38.550999,38.215,38.438999,38.438999,18502000,5227.209961,,18419.3,6745.97,16926.839844,,1239.8,23162.339844,3063.304932,43.16,"1,312.20",13.48,95.650002,38.530998,26.682501,57.59
1175,2016-09-02,38.650501,38.695999,38.420502,38.573002,38.573002,21454000,5249.899902,1852.21,18491.96,6894.6,16925.679688,24020.98,1251.83,23266.699219,3067.352051,44.44,"1,322.10",11.98,95.879997,38.622002,26.932501,57.669998
1176,2016-09-06,38.672501,39.099998,38.549999,39.004002,39.004002,28856000,5275.910156,2115.48,18538.12,6826.05,17081.980469,26763.46,1253.37,23787.679688,3090.712891,44.83,"1,349.40",12.02,94.82,39.443501,26.924999,57.610001
1177,2016-09-07,39.0,39.136501,38.810001,39.017502,39.017502,17874000,5283.930176,,18526.14,6846.58,17012.439453,,1261.01,23741.810547,3091.927979,45.5,"1,344.30",11.94,94.959999,39.223999,27.09,57.66
1178,2016-09-08,38.929501,39.017502,38.679001,38.765999,38.765999,25406000,5259.47998,2181.74,18479.91,6858.7,16958.769531,28085.16,1258.36,23919.339844,3095.954102,47.62,"1,336.80",12.51,95.029999,39.202999,26.379999,57.43
1179,2016-09-09,38.505001,38.662251,37.983002,37.983002,37.983002,37710000,5125.910156,2127.81,18085.45,6776.95,16965.759766,28797.25,1219.21,24099.699219,3078.85498,45.88,"1,330.10",17.5,95.339996,38.007,25.782499,56.209999
1180,2016-09-12,37.7565,38.5145,37.700001,38.451,38.451,26220000,5211.890137,2259.53,18325.07,6700.9,16672.919922,26747.18,1235.87,23290.599609,3021.977051,46.29,"1,321.00",15.16,95.099998,38.574501,26.360001,57.049999
1181,2016-09-13,38.223999,38.311001,37.790001,37.984501,37.984501,27900000,5155.25,2127.02,18066.75,6665.63,16729.039063,,1212.32,23215.759766,3023.51001,44.9,"1,319.00",17.85,95.629997,38.050499,26.987499,56.529999
1182,2016-09-14,37.980499,38.383999,37.955502,38.1245,38.1245,21748000,5173.77002,2125.77,18034.77,6673.31,16614.240234,28372.23,1211.59,23190.640625,3002.849121,43.58,"1,321.50",18.139999,95.330002,38.054501,27.942499,56.259998
1183,2016-09-15,38.144501,38.689999,37.998001,38.588001,38.588001,26102000,5249.689941,2147.26,18212.48,6730.3,16405.009766,28412.89,1227.02,23335.589844,,43.91,"1,313.50",16.299999,95.290001,38.484501,28.8925,57.189999
1184,2016-09-16,38.487499,38.487499,38.233002,38.444,38.444,40986000,5244.569824,2139.16,18123.8,6710.28,16519.289063,28599.03,1224.78,,,43.03,"1,305.80",15.37,96.110001,38.925999,28.73,57.25
1185,2016-09-19,38.620998,38.700001,38.22205,38.285,38.285,23456000,5235.029785,2139.12,18120.17,6813.55,,28634.5,1232.53,23550.449219,3026.051025,43.3,"1,313.50",15.53,95.839996,38.755001,28.395,56.93
1186,2016-09-20,38.450001,38.6665,38.426498,38.570499,38.570499,19572000,5241.350098,2139.76,18129.96,6830.79,16492.150391,28523.2,1228.33,23530.859375,3023.0,43.44,"1,313.70",15.92,96.019997,39.011002,28.3925,56.810001
1187,2016-09-21,38.632999,38.858002,38.415051,38.811001,38.811001,23356000,5295.180176,2163.12,18293.7,6834.77,16807.619141,28507.42,1245.04,23669.900391,3025.874023,45.34,"1,326.90",13.3,95.660004,39.487,28.387501,57.759998
1188,2016-09-22,39.0,39.4925,38.922001,39.3605,39.3605,29724000,5339.52002,2177.18,18392.46,6911.4,,28773.13,1263.44,23759.800781,3042.312988,46.32,"1,340.40",12.02,95.449997,40.235001,28.655001,57.82
1189,2016-09-23,39.329498,39.446499,39.2075,39.345001,39.345001,28238000,5305.75,2164.69,18261.45,6909.43,16754.019531,28668.22,1254.62,23686.480469,3033.895996,44.48,"1,337.20",12.29,95.480003,40.287498,28.1775,57.43
1190,2016-09-26,39.137001,39.137001,38.6535,38.710499,38.710499,30664000,5257.490234,2146.1,18094.83,6818.04,16544.560547,28294.28,1240.94,23317.919922,2980.429932,45.93,"1,339.70",14.5,95.309998,39.958,28.219999,56.900002
1191,2016-09-27,38.775002,39.2995,38.715401,39.150501,39.150501,23064000,5305.709961,2159.93,18228.3,6807.67,16683.929688,28223.7,1246.38,23571.900391,2998.172119,44.67,"1,325.90",13.1,95.440002,40.8055,28.272499,57.950001
1192,2016-09-28,38.892502,39.0905,38.748501,39.077999,39.077999,22196000,5318.549805,2171.37,18339.24,6849.38,16465.400391,28292.81,1255.67,23619.650391,2987.85791,47.05,"1,319.40",12.39,95.43,41.436001,28.487499,58.029999
1193,2016-09-29,39.071999,39.290001,38.711601,38.7505,38.7505,26294000,5269.149902,2151.13,18143.45,6919.42,16693.710938,27827.53,1237.75,23739.470703,2998.48291,47.83,"1,321.70",14.02,95.540001,41.452499,28.045,57.400002
1194,2016-09-30,38.816502,39.047001,38.704498,38.864498,38.864498,31706000,5312.0,2168.27,18308.15,6899.33,16449.839844,27865.96,1251.65,23297.150391,3004.702881,48.24,"1,313.30",13.29,95.459999,41.865501,28.262501,57.599998
1195,2016-10-03,38.712502,38.803249,38.474998,38.627998,38.627998,25576000,5300.870117,1989.57,18253.85,6983.52,16598.669922,24623.34,1245.78,23584.429688,,48.81,"1,309.00",13.57,95.75,41.837002,28.129999,57.419998
1196,2016-10-04,38.801498,38.935501,38.644501,38.821499,38.821499,24028000,5289.660156,,18168.45,7074.34,16735.650391,,1239.78,23689.439453,,48.69,"1,266.30",13.63,96.120003,41.7015,28.25,57.240002
1197,2016-10-05,38.9655,39.1035,38.782501,38.823502,38.823502,29224000,5316.02002,2084.39,18281.03,7033.25,16819.240234,25772.53,1248.37,23788.310547,,49.83,"1,265.20",12.99,96.129997,42.217999,28.262501,57.639999
1198,2016-10-06,38.950001,39.023998,38.777,38.842999,38.842999,21414000,5306.850098,2096.07,18268.5,6999.96,16899.099609,26635.75,1246.24,23952.5,,50.44,"1,249.80",12.84,96.660004,42.083,28.4725,57.740002
1199,2016-10-07,38.983002,38.983002,38.537498,38.754002,38.754002,18664000,5292.399902,,18240.49,7044.39,16860.089844,,1236.56,23851.820313,,49.81,"1,248.90",13.48,96.519997,41.9715,28.514999,57.799999
1200,2016-10-10,38.885502,39.469002,38.793499,39.297001,39.297001,23498000,5328.669922,2163.66,18329.04,7097.5,,28082.34,1250.76,,3048.143066,51.35,,13.38,,42.085499,29.012501,58.040001
1201,2016-10-11,39.333,39.613998,39.028999,39.1535,39.1535,27450000,5246.790039,2167.48,18128.66,7070.88,17024.759766,27517.68,1227.62,23549.519531,3065.25,50.79,"1,253.00",15.36,97.699997,41.549999,29.075001,57.189999
1202,2016-10-12,39.188,39.406502,39.103001,39.306999,39.306999,18748000,5239.02002,,18144.2,7024.01,16840.0,,1227.23,23407.050781,3058.498047,50.18,"1,251.10",15.91,97.970001,41.704498,29.334999,57.110001
1203,2016-10-13,39.061001,39.061001,38.650002,38.9095,38.9095,27306000,5213.330078,2132.55,18098.94,6977.74,16774.240234,27643.11,1215.75,23031.300781,3061.345947,50.44,"1,255.00",16.690001,97.519997,41.464001,29.245001,56.919998
1204,2016-10-14,39.0825,39.197498,38.799999,38.926498,38.926498,17050000,5214.160156,2132.98,18138.38,7013.55,16856.369141,27673.6,1212.41,23233.310547,3063.809082,50.35,"1,253.10",16.120001,98.019997,41.147999,29.407499,57.419998
1205,2016-10-17,38.990002,39.2925,38.875,38.998001,38.998001,21860000,5199.819824,2126.5,18086.4,6947.55,16900.119141,27529.97,1210.14,23037.539063,3041.166016,49.94,"1,254.40",16.209999,97.889999,40.647499,29.387501,57.220001
1206,2016-10-18,39.392502,40.080502,39.278252,39.763,39.763,41138000,5243.839844,2139.6,18161.94,7000.06,16963.609375,28050.88,1217.3,23394.390625,3083.875,50.29,"1,260.80",15.28,97.900002,40.8825,29.3675,57.66
1207,2016-10-19,39.911999,40.23,39.901501,40.075001,40.075001,35336000,5246.410156,2144.29,18202.62,7021.92,16998.910156,27984.37,1222.64,23304.970703,3084.718994,51.6,"1,267.90",14.41,97.870003,40.884499,29.280001,57.529999
1208,2016-10-20,40.165001,40.198502,39.801498,39.848499,39.848499,35150000,5241.830078,2141.34,18162.35,7026.9,17235.5,28129.84,1219.79,23374.400391,3084.458008,50.43,"1,265.60",13.75,98.32,40.515999,29.264999,57.25
1209,2016-10-21,39.75,39.974998,39.700001,39.968498,39.968498,25324000,5257.399902,2141.16,18145.71,7020.47,17184.589844,28077.18,1218.1,,3090.940918,50.85,"1,265.90",13.34,98.699997,40.949501,29.15,59.66
1210,2016-10-24,40.244999,40.758999,40.241001,40.655499,40.655499,33950000,5309.830078,2151.33,18223.03,6986.4,17234.419922,28179.08,1226.45,23604.080078,3128.24707,50.52,"1,262.00",13.02,98.669998,41.904499,29.4125,61.0
1211,2016-10-25,40.834,40.834,40.257,40.383499,40.383499,31528000,5283.399902,2143.16,18169.27,7017.64,17365.25,28091.42,1216.1,23565.109375,3131.938965,49.96,"1,271.90",13.46,98.720001,41.758999,29.5625,60.990002
1212,2016-10-26,40.317001,40.348999,39.816002,39.953499,39.953499,32954000,5250.27002,2139.43,18199.33,6958.09,17391.839844,27836.51,1204.75,23325.429688,3116.312012,49.18,"1,264.80",14.24,98.629997,41.129501,28.897499,60.630001
