Date, Open, High, Low, Close
12/29/21, 2246.35, 2252.79, 2236.65, 2249.24
12/28/21, 2261.04, 2274.54, 2245.57, 2246.51
12/27/21, 2242.48, 2261.89, 2230.33, 2261.46
12/23/21, 2222.25, 2247.63, 2222.25, 2241.58
12/22/21, 2202.43, 2222.51, 2195.42, 2221.90
12/21/21, 2141.41, 2203.02, 2141.41, 2202.95
12/20/21, 2170.97, 2170.97, 2107.68, 2139.88
12/17/21, 2152.51, 2186.36, 2124.74, 2173.93
12/16/21, 2196.82, 2216.09, 2144.70, 2152.45
12/15/21, 2159.88, 2199.86, 2130.91, 2195.21
12/14/21, 2178.92, 2189.71, 2153.21, 2159.65
12/13/21, 2211.59, 2211.59, 2169.01, 2180.50
12/10/21, 2221.43, 2240.38, 2200.10, 2211.81
12/09/21, 2270.27, 2270.27, 2220.18, 2220.20
12/08/21, 2254.31, 2276.75, 2248.24, 2271.71
12/07/21, 2206.77, 2271.71, 2206.77, 2253.79
12/06/21, 2160.16, 2218.27, 2154.62, 2203.48
12/03/21, 2207.06, 2216.18, 2143.12, 2159.31
12/02/21, 2147.62, 2211.66, 2147.62, 2206.33
12/01/21, 2203.12, 2253.38, 2147.40, 2147.42
11/30/21, 2241.05, 2241.05, 2175.68, 2198.91
11/29/21, 2248.90, 2281.28, 2232.09, 2241.98
11/26/21, 2328.98, 2328.98, 2215.24, 2245.93
11/24/21, 2326.70, 2334.37, 2303.94, 2331.46
11/23/21, 2331.25, 2342.63, 2303.38, 2327.86
11/22/21, 2343.67, 2369.64, 2331.35, 2331.35
11/19/21, 2362.44, 2362.44, 2341.57, 2343.16
11/18/21, 2377.60, 2385.99, 2348.52, 2363.59
11/17/21, 2404.20, 2404.20, 2369.11, 2377.01
11/16/21, 2400.10, 2408.34, 2386.51, 2405.02
11/15/21, 2412.04, 2421.07, 2392.89, 2400.93
11/12/21, 2409.46, 2417.20, 2405.84, 2411.78
11/11/21, 2390.50, 2418.83, 2390.50, 2409.14
11/10/21, 2426.44, 2428.97, 2380.76, 2389.58
11/09/21, 2442.22, 2442.22, 2414.43, 2427.29
11/08/21, 2438.36, 2458.86, 2438.06, 2442.74
11/05/21, 2403.13, 2449.14, 2403.13, 2437.08
11/04/21, 2404.68, 2423.83, 2395.50, 2402.43
11/03/21, 2361.82, 2413.39, 2355.18, 2404.28
11/02/21, 2358.25, 2363.55, 2345.40, 2361.86
11/01/21, 2298.08, 2358.64, 2298.08, 2358.12
10/29/21, 2296.74, 2302.35, 2287.86, 2297.19
10/28/21, 2253.90, 2298.76, 2253.90, 2297.98
10/27/21, 2295.45, 2295.45, 2252.49, 2252.49
10/26/21, 2313.35, 2321.47, 2296.07, 2296.08
10/25/21, 2291.80, 2314.84, 2291.80, 2312.64
10/22/21, 2295.67, 2299.73, 2277.04, 2291.27
10/21/21, 2290.41, 2304.00, 2284.97, 2296.18
10/20/21, 2276.01, 2294.92, 2271.84, 2289.76
10/19/21, 2269.26, 2284.67, 2265.70, 2275.91
10/18/21, 2265.06, 2272.35, 2255.41, 2267.84
10/15/21, 2276.74, 2306.27, 2265.65, 2265.65
10/14/21, 2243.95, 2275.51, 2243.95, 2274.18
10/13/21, 2235.02, 2241.97, 2220.24, 2241.97
10/12/21, 2221.55, 2241.40, 2221.55, 2234.27
10/11/21, 2233.00, 2251.65, 2220.64, 2220.64
10/08/21, 2250.32, 2256.56, 2233.09, 2233.09
10/07/21, 2217.58, 2265.22, 2217.58, 2250.09
10/06/21, 2226.05, 2226.05, 2188.69, 2214.96
10/05/21, 2218.47, 2245.03, 2218.47, 2228.36
10/04/21, 2240.85, 2240.85, 2210.61, 2217.47
10/01/21, 2205.91, 2252.04, 2197.15, 2241.63
09/30/21, 2226.74, 2239.54, 2204.36, 2204.37
09/29/21, 2230.61, 2239.75, 2221.72, 2225.31
09/28/21, 2279.51, 2279.51, 2227.58, 2229.78
09/27/21, 2247.96, 2293.35, 2247.96, 2281.00
09/24/21, 2257.95, 2259.93, 2239.17, 2248.07
09/23/21, 2220.06, 2265.81, 2220.06, 2259.04
09/22/21, 2188.10, 2234.17, 2188.10, 2218.56
09/21/21, 2183.72, 2201.71, 2172.83, 2186.18
09/20/21, 2233.10, 2233.10, 2155.34, 2182.20
09/17/21, 2233.55, 2240.73, 2220.39, 2236.87
09/16/21, 2234.31, 2242.84, 2217.35, 2232.91
09/15/21, 2210.46, 2236.96, 2207.42, 2234.45
09/14/21, 2241.78, 2249.94, 2204.14, 2209.99
09/13/21, 2228.49, 2244.72, 2217.12, 2240.78
09/10/21, 2250.63, 2264.11, 2227.55, 2227.55
09/09/21, 2249.53, 2273.18, 2244.13, 2249.13
09/08/21, 2275.00, 2275.00, 2241.43, 2249.73
09/07/21, 2292.17, 2300.59, 2275.57, 2275.61
