Date,Open,High,Low,Close,Adj Close,Volume
16-07-2015,"1,146.20","1,146.20","1,142.90","1,143.80","1,143.80",14
17-07-2015,"1,144.00","1,144.00","1,130.20","1,131.80","1,131.80",120
20-07-2015,"1,130.40","1,130.70","1,095.10","1,106.70","1,106.70",189
21-07-2015,"1,097.10","1,106.40","1,097.10","1,103.40","1,103.40",118
22-07-2015,"1,093.00","1,095.00","1,086.00","1,091.40","1,091.40",46
23-07-2015,"1,097.40","1,097.60","1,087.80","1,094.00","1,094.00",64
24-07-2015,"1,078.60","1,100.70","1,078.60","1,085.60","1,085.60",52
27-07-2015,"1,100.00","1,102.50","1,093.90","1,096.50","1,096.50",19
28-07-2015,"1,097.20","1,097.70","1,096.30","1,096.30","1,096.30",31
29-07-2015,"1,096.40","1,096.90","1,092.70","1,092.70","1,092.70","1,59,142"
30-07-2015,"1,096.10","1,097.50","1,081.00","1,088.40","1,088.40","49,298"
31-07-2015,"1,087.70","1,102.80","1,079.10","1,094.90","1,094.90","5,700"
03-08-2015,"1,095.50","1,097.10","1,085.00","1,089.40","1,089.40","2,418"
04-08-2015,"1,085.10","1,093.90","1,080.50","1,090.70","1,090.70","1,139"
05-08-2015,"1,086.50","1,090.60","1,082.50","1,085.70","1,085.70","1,207"
06-08-2015,"1,084.40","1,092.20","1,083.60","1,090.20","1,090.20",269
07-08-2015,"1,088.90","1,098.30","1,081.70","1,094.10","1,094.10",614
10-08-2015,"1,093.20","1,107.60","1,089.50","1,104.20","1,104.20",900
11-08-2015,"1,103.80","1,116.70","1,094.00","1,107.60","1,107.60",997
12-08-2015,"1,106.00","1,124.50","1,101.50","1,123.20","1,123.20",797
13-08-2015,"1,124.30","1,124.30","1,113.00","1,115.70","1,115.70",441
14-08-2015,"1,113.90","1,118.80","1,112.50","1,112.90","1,112.90",908
17-08-2015,"1,113.80","1,122.00","1,113.80","1,118.60","1,118.60",399
18-08-2015,"1,118.20","1,118.40","1,110.00","1,117.10","1,117.10",475
19-08-2015,"1,117.00","1,134.30","1,116.80","1,128.10","1,128.10",348
20-08-2015,"1,132.80","1,153.30","1,132.80","1,153.00","1,153.00",409
21-08-2015,"1,154.10","1,166.50","1,150.50","1,159.60","1,159.60",261
24-08-2015,"1,164.00","1,169.00","1,147.50","1,153.40","1,153.40",299
25-08-2015,"1,151.50","1,155.50","1,134.00","1,138.20","1,138.20",217
26-08-2015,"1,139.20","1,143.00","1,119.60","1,124.60","1,124.60",116
27-08-2015,"1,127.20","1,127.40","1,118.40","1,122.40","1,122.40",564
28-08-2015,"1,125.30","1,139.00","1,123.60","1,133.10","1,133.10",279
31-08-2015,"1,131.10","1,134.00","1,124.80","1,131.60","1,131.60",194
01-09-2015,"1,133.50","1,144.70","1,133.50","1,138.70","1,138.70",375
02-09-2015,"1,137.30","1,140.40","1,130.80","1,132.50","1,132.50",201
03-09-2015,"1,130.30","1,132.90","1,120.30","1,123.70","1,123.70",122
04-09-2015,"1,123.40","1,125.20","1,116.20","1,120.60","1,120.60",51
08-09-2015,"1,119.80","1,124.30","1,116.40","1,120.40","1,120.40",138
09-09-2015,"1,123.50","1,123.50","1,102.10","1,102.20","1,102.20",150
10-09-2015,"1,107.30","1,113.50","1,105.50","1,109.50","1,109.50",56
11-09-2015,"1,110.80","1,111.70","1,098.20","1,103.50","1,103.50",81
14-09-2015,"1,107.80","1,108.60","1,104.10","1,107.70","1,107.70",19
